Feature,Mean_SHAP_Original,Mean_SHAP_Adversarial
handles.nsemaphore,1.1259599999999998,1.0531625
dlllist.avg_dlls_per_proc,1.0077599999999998,0.9717000000000003
svcscan.process_services,0.9260900000000002,0.8980374999999996
handles.ndirectory,0.9163600000000001,0.8334125
psxview.not_in_deskthrd_false_avg,0.7235700000000002,0.7570999999999999
psxview.not_in_csrss_handles_false_avg,0.6852600000000002,0.6011125000000004
handles.ndesktop,0.66886,0.6668625
psxview.not_in_session_false_avg,0.6147299999999999,0.5364125
ldrmodules.not_in_load,0.5600900000000002,0.4339125
pslist.avg_threads,0.5587200000000003,0.5084125000000002
psxview.not_in_ethread_pool_false_avg,0.55013,0.47350000000000003
ldrmodules.not_in_mem,0.5404999999999999,0.4416875000000002
svcscan.nservices,0.5216000000000001,0.5058374999999998
handles.ntimer,0.50624,0.5293750000000002
dlllist.ndlls,0.48034000000000016,0.5163499999999999
handles.nevent,0.47199999999999975,0.5206375000000001
handles.nmutant,0.4673599999999998,0.4407125000000001
ldrmodules.not_in_init,0.4068299999999999,0.43335000000000007
pslist.nproc,0.40279,0.4141875000000001
handles.nthread,0.3857000000000001,0.49515
handles.nkey,0.37876000000000004,0.39802499999999985
handles.nsection,0.35506,0.3823625
pslist.nppid,0.35080999999999996,0.36269999999999974
psxview.not_in_session,0.27777999999999997,0.3073375000000001
svcscan.nactive,0.25419,0.29805000000000015
svcscan.shared_process_services,0.23864999999999997,0.222
psxview.not_in_pspcid_list,0.21328999999999998,0.20879999999999999
psxview.not_in_deskthrd,0.19387000000000007,0.1989
handles.nhandles,0.18725000000000008,0.17890000000000003
modules.nmodules,0.18529000000000004,0.19032500000000002
malfind.commitCharge,0.18236,0.2516
psxview.not_in_pslist,0.16374,0.15209999999999999
malfind.protection,0.16122999999999998,0.1794749999999999
ldrmodules.not_in_mem_avg,0.15947999999999998,0.12104999999999995
psxview.not_in_pslist_false_avg,0.15801999999999994,0.22991250000000005
callbacks.ncallbacks,0.15797000000000008,0.12054999999999995
psxview.not_in_pspcid_list_false_avg,0.15697,0.16642500000000002
psxview.not_in_csrss_handles,0.14551000000000003,0.133025
pslist.avg_handlers,0.14546999999999996,0.12223750000000004
ldrmodules.not_in_load_avg,0.13569000000000003,0.11925000000000006
malfind.ninjections,0.13194000000000003,0.15463749999999998
psxview.not_in_ethread_pool,0.12786000000000006,0.10337500000000005
malfind.uniqueInjections,0.12113999999999998,0.2377500000000001
handles.avg_handles_per_proc,0.11666999999999998,0.0894875
ldrmodules.not_in_init_avg,0.11638999999999998,0.11348749999999998
svcscan.kernel_drivers,0.11423999999999994,0.1087125
handles.nfile,0.09811999999999997,0.0693375
psxview.not_in_eprocess_pool_false_avg,0.023799999999999998,0.06131249999999995
psxview.not_in_eprocess_pool,0.016159999999999987,0.037762500000000004
svcscan.fs_drivers,0.0,0.04996250000000003
svcscan.interactive_process_services,0.0,0.0
pslist.nprocs64bit,0.0,0.0
handles.nport,0.0,0.0
callbacks.nanonymous,0.0,0.007237500000000011
callbacks.ngeneric,0.0,0.0
