pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Category
44.876247,16.479948,9.620641,0.0,176.57716,1836.9355,39.63984,10517.27,243.52138,0.0,36.201992,3263.1243,49.050045,720.11584,831.578,114.00009,692.97876,137.98193,173.73477,307.62573,54.748608,99.29108,54.748306,0.026317528,0.050432146,0.026316943,59.64465,17198.805,357.86972,9.912434,0.5879955,-0.009143106,1.8549855,-0.59377,5.8550944,1.4119995,6.121625,-0.011437004,0.00025790595,0.034821,-0.011608223,0.12071722,0.054410998,0.14017062,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,123.562805,85.34235,-0.0045751496,8.0,Ransomware-Ako-00bc03f1c2f2f457cf5d37b2b06856ea61ce126d9578c7b89a3548d35e787d6e-4.raw
35.876247,14.479947,10.532509,0.0,241.99275,1511.9355,37.941242,9118.27,250.67874,0.0,-214.798,2973.1243,38.949955,643.11584,714.578,94.00009,574.97876,115.98194,191.26523,244.62572,45.748608,82.29108,45.748306,0.027009446,0.05543625,0.027008863,-0.35535118,-1304.1962,-2.1302779,0.41243392,-0.58799565,-0.009143106,0.8549855,-0.59377,4.8550944,1.4119995,5.121625,-0.011437004,0.00025790595,0.013081874,-0.011608223,0.120129675,0.06498679,0.15015887,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,119.562805,86.34235,-0.0045751496,8.0,Spyware-Transponder-00d7b4af14ce7b7f09d949194c2fd335f86d19c71b5e1d77c7f2046c98e8394f-9.raw
41.876247,16.479948,9.990712,0.0,229.04366,1720.9355,37.348534,9853.27,242.56741,0.0,-194.798,3141.1243,43.949955,718.11584,790.578,108.00009,659.02124,131.98193,165.73477,285.62573,48.748608,90.29108,48.748306,0.024720248,0.052615974,0.024719663,-0.35535118,-1304.1962,-2.1302779,0.41243392,1.4120045,-0.009143106,3.8549855,1.4062301,7.8550944,3.4119995,8.121625,0.033007443,0.00025790595,0.07974853,0.032836217,0.16757712,0.09982163,0.1879967,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,123.562805,85.34235,-0.0045751496,8.0,Ransomware-Conti-0a171a622ddb008d0cc264f3ba7d1250a72bfc6f6ba5a27592346d67ef8b153f-4.raw
39.876247,15.479947,9.926049,0.0,229.27225,1607.9355,38.749596,9457.27,237.95824,0.0,-183.798,3065.1243,42.949955,670.11584,744.578,105.00009,588.97876,118.98194,206.26523,269.62573,49.748608,90.29108,49.748306,0.027708957,0.05322526,0.027708374,-0.35535118,1310.1962,-2.1302779,0.41243392,-0.58799565,-0.009143106,0.8549855,-0.59377,4.8550944,1.4119995,5.121625,-0.011437004,0.00025790595,0.013081874,-0.011608223,0.10958254,0.059713222,0.13433817,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,119.562805,86.34235,-0.0045751496,8.0,Trojan-Emotet-1d72e4d7b37b7bf374ea10f3e3b0e9164c32142aeae3d302e379f9987eccad27-9.raw
42.123753,15.479947,10.02361,0.0,234.49176,1670.9355,40.286182,9671.27,243.17775,0.0,1482.798,3143.1243,42.949955,637.11584,764.578,105.00009,622.97876,128.98193,210.26523,281.62573,48.748608,89.29108,48.748306,0.025525266,0.053547293,0.025524683,-0.35535118,-1304.1962,-2.1302779,0.41243392,-0.58799565,-0.009143106,0.8549855,0.5937699,4.8550944,2.5880005,5.121625,-0.011437004,0.00025790595,0.013081874,-0.011608223,0.10958254,0.059713222,0.13433817,137.96164,389.89127,220.60907,25.96573,24.304977,116.30432,0.0,121.562805,86.34235,-0.0045751496,8.0,Trojan-Zeus-2dd291b2dad08b362ef6f6182766c8c4d26a5c333af86bf8b77def787f26024f-4.raw
40.123753,14.479947,10.316293,0.0,237.49864,1586.9355,40.13984,9373.27,246.18463,0.0,1476.798,3055.1243,40.949955,627.11584,745.578,102.00009,580.97876,121.98194,205.26523,271.62573,47.748608,86.29108,47.748306,0.026553378,0.050896745,0.026552795,-0.35535118,-1304.1962,-2.1302779,0.41243392,1.4120045,-0.009143106,2.8549855,1.4062301,6.8550944,3.4119995,7.121625,0.037343483,0.00025790595,0.06186236,0.03717226,0.15836303,0.10849371,0.18311866,137.96164,389.89127,220.60907,25.96573,24.304977,116.30432,0.0,120.562805,86.34235,-0.0045751496,8.0,Ransomware-Pysa-7bcbf8f6884549f0eaf03100f105cf419549b8e97f3e264722dac6f4566fcc5c-6.raw
42.876247,15.479947,10.702657,0.0,228.97125,1712.9355,38.57166,10051.27,237.65724,0.0,-180.79788,3255.1243,44.949955,658.11584,896.578,110.00009,636.97876,125.98194,212.26523,275.62573,51.748608,95.29108,51.748306,0.026538163,0.055657316,0.02653758,-0.35535118,-1304.1962,-2.1302779,0.41243392,0.4120045,-0.009143106,1.8549855,0.4062301,5.8550944,2.4119995,7.121625,0.010785218,0.00025790595,0.035304092,0.010613996,0.123132676,0.0775994,0.16577448,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,122.562805,85.34235,-0.0045751496,8.0,Ransomware-Shade-796eb9e53d5f6019e289f0883d8b2b136ac5c9eaccca03ee0e9f30ba813d5ae2-1.raw
35.876247,14.479947,10.532509,0.0,242.236,1510.9355,37.914215,9127.27,250.92198,0.0,1470.798,2974.1243,38.949955,637.11584,715.57794,94.00009,615.02124,115.98194,130.73477,244.62572,46.748608,83.29108,46.748306,0.027654918,0.052171282,0.027654333,-0.35535118,-1304.1962,-2.1302779,0.41243392,6.4120045,-0.009143106,7.8549857,7.5937705,11.855095,8.412,12.121625,0.14765391,0.00025790595,0.17217278,0.14748268,0.26202157,0.2154782,0.28345123,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,119.562805,86.34235,-0.0045751496,8.0,Trojan-Refroso-bbc66786dc7f310801fb2c9aced13d08-8.raw
40.123753,16.479948,10.136806,0.0,236.49864,1591.9355,37.988365,9334.27,245.18463,0.0,1491.798,2692.8757,40.949955,709.88416,727.578,99.00009,627.02124,121.98194,191.26523,252.62572,49.748608,88.29108,49.748306,0.027957067,0.05627207,0.027956484,7.6446486,1366.1962,45.86972,1.6124339,0.5879955,-0.009143106,0.8549855,0.5937699,4.8550944,2.5880005,5.121625,-0.011437004,0.00025790595,0.013081874,-0.011608223,0.11458567,0.062214784,0.14184286,137.96164,389.89127,220.60907,25.96573,24.304977,116.30432,0.0,119.562805,85.34235,-0.0045751496,8.0,Trojan-Refroso-e1e4afff733f7137d65cef4eb538722a-8.raw
42.876247,16.479948,10.043566,0.0,228.33488,1738.9355,39.162567,10023.27,237.02087,0.0,-177.798,3229.1243,45.949955,687.11584,820.578,111.00009,642.97876,131.98193,218.26524,286.62573,49.748608,93.29108,49.748306,0.024993777,0.0537729,0.024993192,-0.35535118,-1304.1962,-2.1302779,0.41243392,-0.58799565,-0.009143106,0.8549855,-0.59377,4.8550944,1.4119995,5.121625,-0.011437004,0.00025790595,0.013081874,-0.011608223,0.10293066,0.05638728,0.12436034,137.96164,389.89127,220.60907,26.03427,24.304977,116.30432,0.0,122.562805,86.34235,-0.0045751496,8.0,Ransomware-Ako-0bba514ec7f615e144777eb601e36eb57b5910e2d5b60ae8dc67135e996c6a76-3.raw
